incident_id,topic,topic_prob
451,-1,0.10661900788389224
446,0,0.6997815286779717
20,0,0.33667136503739487
143,0,0.7099708879318787
322,1,0.16235059843590616
1281,-1,0.07522852509893917
1267,-1,0.16446503122905692
849,0,0.12013311871926254
129,3,1.0
3326,2,1.0
3565,-1,0.13961163591576548
819,8,1.0
742,0,0.2727424960687736
1905,7,1.0
2159,7,1.0
3084,-1,0.1314652839446005
3685,-1,0.08473515487912892
4324,4,0.17431580018907528
2271,7,1.0
3665,-1,0.060065440857636744
564,-1,0.19619126545944893
1562,8,1.0
415,7,1.0
1054,7,1.0
532,0,0.35849192595308155
556,0,0.4258508554457703
560,0,0.40092761016455813
369,0,0.3795248604070314
153,-1,0.1275472092095307
1326,0,0.36847871718709135
1890,4,0.18908851253821038
1789,0,0.6428475930780924
582,-1,0.02174584530918405
1958,4,0.2779521705355216
599,0,0.3804795827923744
791,7,0.47343981809677177
1539,1,0.1431689157107583
1328,-1,0.06097020548420727
3789,5,0.09779102671087755
1794,3,0.2782180879691658
2514,-1,0.04661206076239378
2275,-1,0.0611577199969081
2958,5,1.0
3105,-1,0.061628555102602844
3119,-1,0.06228480098555575
3322,2,1.0
3402,-1,0.0666792654089621
3422,-1,0.030935177483870493
3586,5,0.17174262767512427
3644,-1,0.09909831369759799
4141,-1,0.05073352353356296
4176,4,0.4457229909842572
3346,1,0.07179198325297244
3584,1,0.08973587130749089
1964,1,0.13726620565019118
173,0,1.0
905,3,1.0
2076,2,0.15296156473156466
1911,-1,0.04885215545849532
2075,4,1.0
3485,5,0.0957636390153896
2673,3,0.30237974576888965
2796,6,0.7012035264001545
2783,-1,0.04818661344712984
2945,-1,0.09329310324604939
3479,-1,0.06695453643023062
3193,4,1.0
3274,6,1.0
3727,2,1.0
3696,2,0.13592901864853152
3896,4,1.0
4312,4,0.3853309899097774
2558,4,0.30531534795239557
4041,4,0.23354593500300472
50,-1,0.0210916438354778
2166,-1,0.023328102870971066
2239,-1,0.1411424151749991
2949,5,0.2758812108416326
3417,-1,0.017307607129886386
3568,5,0.1634114742320612
3818,3,0.2537648906450387
1972,-1,0.022633638331975903
2787,-1,0.07035588740555637
4276,5,1.0
2802,4,0.3462075896976373
619,0,0.31721172666544406
1283,0,0.15176401103510165
1406,3,0.4610658962128837
2357,7,1.0
2057,-1,0.08239455138164889
2295,-1,0.0794742604158512
2390,3,0.24175202521817402
2528,2,0.17017331814409706
2648,-1,0.08949435476347394
2706,3,0.3654816367882457
2703,-1,0.10004199675643125
3035,-1,0.11040477761796151
3524,-1,0.01714301580697104
3261,5,0.11111563560516154
3279,4,0.13988347142289245
3494,-1,0.028547850923972756
3554,3,0.5655976674692051
3686,5,0.10329988572789593
4287,-1,0.0893563941747063
1499,-1,0.088442504921977
3029,2,1.0
1544,5,0.24919684265695485
2437,-1,0.04624289340337344
2169,-1,0.03691698209997296
2457,5,0.24263640563507877
2983,-1,0.028796275354125316
3471,-1,0.12453028699307822
3410,4,0.1762592376081937
4256,-1,0.140060815772531
1261,0,0.3847081549540299
3112,-1,0.08655081353336733
700,0,0.46051678237810756
1004,-1,0.12204883774972097
4009,4,0.23541936861516724
1922,-1,0.10564407970433616
2896,5,0.8067643618145931
1892,2,0.3577963312068651
2152,5,1.0
2325,5,0.7919246176542456
2384,-1,0.07534680489274515
2399,5,0.19391911581962296
2633,6,1.0
2655,3,0.12480316930744098
2870,5,0.16348164652157895
2931,-1,0.029537125727805806
2988,5,0.8361557288252514
3254,-1,0.08270561111833746
2995,6,0.5499240077701952
3077,-1,0.11430311235201958
3177,5,1.0
3209,5,0.1951921904457982
3210,2,1.0
3259,-1,0.02197288030316035
3340,-1,0.028190868034786824
3404,4,0.34717641308771524
3497,4,1.0
3600,-1,0.013827408294754196
3590,5,1.0
3919,-1,0.021061491068220962
4143,-1,0.08525780818386626
4110,-1,0.018537038529926397
4157,-1,0.10249112320316303
4197,5,0.8200313350988596
4183,-1,0.0902261776386144
4320,5,1.0
2734,4,0.336538571828149
3090,-1,0.05769536131854451
3158,4,0.4524777480449163
3199,4,0.282413912354602
583,8,1.0
1605,1,1.0
1962,-1,0.09811124826187309
2793,-1,0.11981957763830811
3877,-1,0.09731174093213509
3269,-1,0.06372422875848313
3591,-1,0.0817636719220207
4130,-1,0.04342251217860011
1938,4,0.5193385019726429
497,0,0.25934277768108965
506,3,0.23629768087018221
821,1,0.20519459012266472
3704,6,0.05071175642187031
3525,-1,0.02737748060622492
1563,-1,0.08158498061773976
1960,-1,0.06979671071341235
2202,5,1.0
3087,-1,0.017888231385483826
3280,-1,0.0777990066945062
3606,-1,0.07606454246904573
3775,-1,0.14064988840175638
4091,-1,0.0900057627232622
3091,-1,0.016624001229646627
3136,-1,0.04854825971576133
4229,0,0.15182921543442437
2140,-1,0.08510107655102545
1064,-1,0.15487824683892404
3057,3,0.23731232782857103
366,-1,0.11927007672173688
1788,3,0.26935113886464473
2243,3,0.2306692636473427
2534,-1,0.13169637813063256
3356,-1,0.16937513939342583
3317,-1,0.018741808661361326
3492,3,0.49525416169062947
3366,4,0.35770721512771597
3489,-1,0.034193162352744326
3291,1,0.11314091641877967
1923,1,0.14298248501822036
2714,-1,0.1329080361988056
4313,-1,0.0735306698032535
3438,3,0.2872999626946096
4249,3,0.2661182385690193
4262,-1,0.07380070655520417
1996,3,0.2464448636349022
1902,3,0.2611477723215569
2935,2,1.0
3348,4,0.16350485406675414
2726,3,0.25024359967071974
4161,-1,0.05179250590587842
3721,-1,0.014945572371819774
1444,-1,0.1198926215099012
2646,3,0.19389506220361555
3003,3,0.31326820392499866
3464,5,0.592920811082557
1393,7,1.0
186,0,0.2576224685443659
